stop1;stop2;temps
StopPoint:OCEOUIGO-87393702;StopPoint:OCEOUIGO-87111849;214
StopPoint:OCEOUIGO-87111849;StopPoint:OCEOUIGO-87271494;239
StopPoint:OCEOUIGO-87271494;StopPoint:OCEOUIGO-87313882;276
StopPoint:OCEOUIGO-87313882;StopPoint:OCEOUIGO-87286005;322
StopPoint:OCEOUIGO-87286005;StopPoint:OCEOUIGO-87286542;333
StopPoint:OCEOUIGO-87286542;StopPoint:OCEOUIGO-87313882;41
StopPoint:OCEOUIGO-87586008;StopPoint:OCEOUIGO-87611244;233
StopPoint:OCEOUIGO-87611244;StopPoint:OCEOUIGO-87611004;260
StopPoint:OCEOUIGO-87611004;StopPoint:OCEOUIGO-87611244;31
StopPoint:OCEOUIGO-87113001;StopPoint:OCEOUIGO-87212027;107
StopPoint:OCEOUIGO-87212027;StopPoint:OCEOUIGO-87192039;62
StopPoint:OCEOUIGO-87192039;StopPoint:OCEOUIGO-87113001;149
StopPoint:OCEOUIGO-87686006;StopPoint:OCEOUIGO-87723197;122
StopPoint:OCEOUIGO-87723197;StopPoint:OCEOUIGO-87722025;130
StopPoint:OCEOUIGO-87722025;StopPoint:OCEOUIGO-87723197;14
StopPoint:OCEOUIGO-87773002;StopPoint:OCEOUIGO-87775007;28
StopPoint:OCEOUIGO-87775007;StopPoint:OCEOUIGO-87763029;81
StopPoint:OCEOUIGO-87763029;StopPoint:OCEOUIGO-87723197;116
StopPoint:OCEOUIGO-87751008;StopPoint:OCEOUIGO-87319012;14
StopPoint:OCEOUIGO-87319012;StopPoint:OCEOUIGO-87318964;37
StopPoint:OCEOUIGO-87318964;StopPoint:OCEOUIGO-87762906;91
StopPoint:OCEOUIGO-87762906;StopPoint:OCEOUIGO-87686006;204
StopPoint:OCEOUIGO-87755009;StopPoint:OCEOUIGO-87757526;282
StopPoint:OCEOUIGO-87757526;StopPoint:OCEOUIGO-87757625;309
StopPoint:OCEOUIGO-87757625;StopPoint:OCEOUIGO-87757674;320
StopPoint:OCEOUIGO-87757674;StopPoint:OCEOUIGO-87756056;339
StopPoint:OCEOUIGO-87755447;StopPoint:OCEOUIGO-87757625;321
StopPoint:OCEOUIGO-87756056;StopPoint:OCEOUIGO-87757674;18
StopPoint:OCEOUIGO-87688887;StopPoint:OCEOUIGO-87703975;22
StopPoint:OCEOUIGO-87703975;StopPoint:OCEOUIGO-87762906;95
StopPoint:OCEOUIGO-87784009;StopPoint:OCEOUIGO-87781104;38
StopPoint:OCEOUIGO-87781104;StopPoint:OCEOUIGO-87781005;55
StopPoint:OCEOUIGO-87781005;StopPoint:OCEOUIGO-87781278;69
StopPoint:OCEOUIGO-87781278;StopPoint:OCEOUIGO-87773200;86
StopPoint:OCEOUIGO-87773200;StopPoint:OCEOUIGO-87688887;108
StopPoint:OCETGV INOUI-87471508;StopPoint:OCETGV INOUI-87471003;116
StopPoint:OCETGV INOUI-87478107;StopPoint:OCETGV INOUI-87478073;16
StopPoint:OCETGV INOUI-87478073;StopPoint:OCETGV INOUI-87471003;53
StopPoint:OCETGV INOUI-87396408;StopPoint:OCETGV INOUI-87396002;85
StopPoint:OCETGV INOUI-87471300;StopPoint:OCETGV INOUI-87476606;152
StopPoint:OCETGV INOUI-87476606;StopPoint:OCETGV INOUI-87476200;165
StopPoint:OCETGV INOUI-87476200;StopPoint:OCETGV INOUI-87476002;180
StopPoint:OCETGV INOUI-87474098;StopPoint:OCETGV INOUI-87476002;37
StopPoint:OCETGV INOUI-87476002;StopPoint:OCETGV INOUI-87476200;56
StopPoint:OCETGV INOUI-87571000;StopPoint:OCETGV INOUI-87571240;8
StopPoint:OCETGV INOUI-87571216;StopPoint:OCETGV INOUI-87391003;74
StopPoint:OCETGV INOUI-87324095;StopPoint:OCETGV INOUI-87575001;119
StopPoint:OCETGV INOUI-87485003;StopPoint:OCETGV INOUI-87485300;37
StopPoint:OCETGV INOUI-87485300;StopPoint:OCETGV INOUI-87391003;148
StopPoint:OCETGV INOUI-87485490;StopPoint:OCETGV INOUI-87485300;117
StopPoint:OCETGV INOUI-87485227;StopPoint:OCETGV INOUI-87485003;158
StopPoint:OCETGV INOUI-87582668;StopPoint:OCETGV INOUI-87582478;17
StopPoint:OCETGV INOUI-87582478;StopPoint:OCETGV INOUI-87581009;47
StopPoint:OCETGV INOUI-87582643;StopPoint:OCETGV INOUI-87582478;23
StopPoint:OCETGV INOUI-87584052;StopPoint:OCETGV INOUI-87583005;67
StopPoint:OCETGV INOUI-87677005;StopPoint:OCETGV INOUI-87677120;12
StopPoint:OCETGV INOUI-87677120;StopPoint:OCETGV INOUI-87673400;25
StopPoint:OCETGV INOUI-87673400;StopPoint:OCETGV INOUI-87673004;40
StopPoint:OCETGV INOUI-87673004;StopPoint:OCETGV INOUI-87673202;73
StopPoint:OCETGV INOUI-87673202;StopPoint:OCETGV INOUI-87581009;154
StopPoint:OCETGV INOUI-87671008;StopPoint:OCETGV INOUI-87671339;18
StopPoint:OCETGV INOUI-87671339;StopPoint:OCETGV INOUI-87672006;45
StopPoint:OCETGV INOUI-87672006;StopPoint:OCETGV INOUI-87672253;68
StopPoint:OCETGV INOUI-87672253;StopPoint:OCETGV INOUI-87673202;105
StopPoint:OCETGV INOUI-87474007;StopPoint:OCETGV INOUI-87474338;32
StopPoint:OCETGV INOUI-87474338;StopPoint:OCETGV INOUI-87473207;63
StopPoint:OCETGV INOUI-87473207;StopPoint:OCETGV INOUI-87473009;82
StopPoint:OCETGV INOUI-87473009;StopPoint:OCETGV INOUI-87471003;139
StopPoint:OCETGV INOUI-87473108;StopPoint:OCETGV INOUI-87473009;169
StopPoint:OCETGV INOUI-87474239;StopPoint:OCETGV INOUI-87474338;36
StopPoint:OCETGV INOUI-87473181;StopPoint:OCETGV INOUI-87473207;70
StopPoint:OCETGV INOUI-87473223;StopPoint:OCETGV INOUI-87473207;30
StopPoint:OCETGV INOUI-87474155;StopPoint:OCETGV INOUI-87476317;31
StopPoint:OCETGV INOUI-87476317;StopPoint:OCETGV INOUI-87476002;45
StopPoint:OCETGV INOUI-87481192;StopPoint:OCETGV INOUI-87484006;47
StopPoint:OCETGV INOUI-87481705;StopPoint:OCETGV INOUI-87481002;41
StopPoint:OCETGV INOUI-87481788;StopPoint:OCETGV INOUI-87481754;12
StopPoint:OCETGV INOUI-87481754;StopPoint:OCETGV INOUI-87481705;29
