stop_id;nom;latitude;longitude
StopPoint:OCEICE-87300863;besancon franche comte tgv;47.30799;5.953621
StopPoint:OCETGV INOUI-87300863;besancon franche comte tgv;47.30799;5.953621
StopArea:OCE87313882;tgv haute picardie;49.859123;2.832251
StopPoint:OCEOUIGO-87313882;tgv haute picardie;49.859123;2.832251
StopPoint:OCETGV INOUI-87313882;tgv haute picardie;49.859123;2.832251
StopArea:OCE87317057;rang du fliers   verton   berck;50.415855;1.648271
StopPoint:OCETGV INOUI-87317057;rang du fliers   verton   berck;50.415855;1.648271
StopArea:OCE87317065;etaples   le touquet;50.516915;1.643515
StopPoint:OCETGV INOUI-87317065;etaples   le touquet;50.516915;1.643515
StopArea:OCE87317586;boulogne sur mer;50.715589;1.610191
StopPoint:OCETGV INOUI-87317586;boulogne sur mer;50.715589;1.610191
StopArea:OCE87318964;avignon tgv;43.9214;4.787355
StopPoint:OCEICE-87318964;avignon tgv;43.9214;4.787355
StopPoint:OCEOUIGO-87318964;avignon tgv;43.9214;4.787355
StopPoint:OCETGV INOUI-87318964;avignon tgv;43.9214;4.787355
StopArea:OCE87319012;aix en provence tgv;43.455268;5.317233
StopPoint:OCEICE-87319012;aix en provence tgv;43.455268;5.317233
StopPoint:OCEOUIGO-87319012;aix en provence tgv;43.455268;5.317233
StopPoint:OCETGV INOUI-87319012;aix en provence tgv;43.455268;5.317233
StopArea:OCE87324095;futuroscope;46.669918;0.377209
StopPoint:OCETGV INOUI-87324095;futuroscope;46.669918;0.377209
StopArea:OCE87342006;bethune;50.521175;2.640447
StopPoint:OCETGV INOUI-87342006;bethune;50.521175;2.640447
StopArea:OCE87342014;arras;50.28671;2.781895
StopPoint:OCETGV INOUI-87342014;arras;50.28671;2.781895
StopArea:OCE87343004;valenciennes;50.363297;3.516468
StopPoint:OCETGV INOUI-87343004;valenciennes;50.363297;3.516468
StopArea:OCE87345009;douai;50.371693;3.089969
StopPoint:OCETGV INOUI-87345009;douai;50.371693;3.089969
StopArea:OCE87345025;lens;50.426606;2.827858
StopPoint:OCETGV INOUI-87345025;lens;50.426606;2.827858
StopArea:OCE87381509;mantes la jolie;48.989789;1.703302
StopPoint:OCETGV INOUI-87381509;mantes la jolie;48.989789;1.703302
StopArea:OCE87391003;paris montparnasse hall 1   2;48.840968;2.320272
StopPoint:OCEOUIGO-87391003;paris montparnasse hall 1   2;48.840968;2.320272
StopPoint:OCETGV INOUI-87391003;paris montparnasse hall 1   2;48.840968;2.320272
StopArea:OCE87393009;versailles chantiers;48.795649;2.135924
StopPoint:OCETGV INOUI-87393009;versailles chantiers;48.795649;2.135924
StopArea:OCE87393579;massy palaiseau;48.725631;2.257868
StopPoint:OCETGV INOUI-87393579;massy palaiseau;48.725631;2.257868
StopArea:OCE87393702;massy tgv;48.725832;2.261337
StopPoint:OCEOUIGO-87393702;massy tgv;48.725832;2.261337
StopPoint:OCETGV INOUI-87393702;massy tgv;48.725832;2.261337
StopArea:OCE87396002;le mans;47.995217;0.192434
StopPoint:OCEOUIGO-87396002;le mans;47.995217;0.192434
StopPoint:OCETGV INOUI-87396002;le mans;47.995217;0.192434
StopArea:OCE87396408;sable sur sarthe;47.842029;-0.3421
StopPoint:OCETGV INOUI-87396408;sable sur sarthe;47.842029;-0.3421
StopArea:OCE87411017;rouen rive droite;49.449367;1.094233
StopPoint:OCETGV INOUI-87411017;rouen rive droite;49.449367;1.094233
StopArea:OCE87413013;le havre;49.492884;0.125924
StopPoint:OCETGV INOUI-87413013;le havre;49.492884;0.125924
StopArea:OCE87471003;rennes;48.103071;-1.672131
StopPoint:OCEOUIGO-87471003;rennes;48.103071;-1.672131
StopPoint:OCETGV INOUI-87471003;rennes;48.103071;-1.672131
StopArea:OCE87471300;redon;47.651845;-2.088298
StopPoint:OCETGV INOUI-87471300;redon;47.651845;-2.088298
StopArea:OCE87471508;vitre;48.122483;-1.212851
StopPoint:OCETGV INOUI-87471508;vitre;48.122483;-1.212851
StopArea:OCE87473009;saint brieuc;48.507331;-2.766037
StopPoint:OCEOUIGO-87473009;saint brieuc;48.507331;-2.766037
StopPoint:OCETGV INOUI-87473009;saint brieuc;48.507331;-2.766037
StopArea:OCE87473108;lamballe;48.465923;-2.511489
StopPoint:OCETGV INOUI-87473108;lamballe;48.465923;-2.511489
StopArea:OCE87473181;plouaret tregor;48.606223;-3.46641
StopPoint:OCETGV INOUI-87473181;plouaret tregor;48.606223;-3.46641
StopArea:OCE87473207;guingamp;48.555521;-3.143399
StopPoint:OCEOUIGO-87473207;guingamp;48.555521;-3.143399
StopPoint:OCETGV INOUI-87473207;guingamp;48.555521;-3.143399
StopArea:OCE87473223;lannion;48.726956;-3.460663
