stop1;stop2;temps
StopPoint:OCEOUIGO-87722025;StopPoint:OCEOUIGO-87725689;43
StopPoint:OCEOUIGO-87725689;StopPoint:OCEOUIGO-87725002;78
StopPoint:OCEOUIGO-87725002;StopPoint:OCEOUIGO-87713040;129
StopPoint:OCEOUIGO-87713040;StopPoint:OCEOUIGO-87682005;266
StopPoint:OCEOUIGO-87682005;StopPoint:OCEOUIGO-87681825;291
StopPoint:OCEOUIGO-87681825;StopPoint:OCEOUIGO-87686667;303
StopPoint:OCEOUIGO-87723197;StopPoint:OCEOUIGO-87722025;304
StopPoint:OCEOUIGO-87686006;StopPoint:OCEOUIGO-87682005;32
StopPoint:OCEINTERCITES de nuit-87751081;StopPoint:OCEINTERCITES de nuit-87755009;621
StopPoint:OCEINTERCITES de nuit-87755009;StopPoint:OCEINTERCITES de nuit-87755447;660
StopPoint:OCEINTERCITES de nuit-87755447;StopPoint:OCEINTERCITES de nuit-87757526;677
StopPoint:OCEINTERCITES de nuit-87757526;StopPoint:OCEINTERCITES de nuit-87757625;702
StopPoint:OCEINTERCITES de nuit-87757625;StopPoint:OCEINTERCITES de nuit-87757674;715
StopPoint:OCEINTERCITES de nuit-87757674;StopPoint:OCEINTERCITES de nuit-87756056;737
StopPoint:OCEINTERCITES de nuit-87756056;StopPoint:OCEINTERCITES de nuit-87757674;22
StopPoint:OCEINTERCITES de nuit-87761783;StopPoint:OCEINTERCITES de nuit-87761841;502
StopPoint:OCEINTERCITES de nuit-87761841;StopPoint:OCEINTERCITES de nuit-87763300;571
StopPoint:OCEINTERCITES de nuit-87763300;StopPoint:OCEINTERCITES de nuit-87763003;597
StopPoint:OCEINTERCITES de nuit-87763003;StopPoint:OCEINTERCITES de nuit-87763425;618
StopPoint:OCEINTERCITES de nuit-87763425;StopPoint:OCEINTERCITES de nuit-87763466;643
StopPoint:OCEINTERCITES de nuit-87763466;StopPoint:OCEINTERCITES de nuit-87763508;661
StopPoint:OCEINTERCITES de nuit-87763508;StopPoint:OCEINTERCITES de nuit-87763557;674
StopPoint:OCEINTERCITES de nuit-87763557;StopPoint:OCEINTERCITES de nuit-87763607;690
StopPoint:OCEINTERCITES de nuit-87761874;StopPoint:OCEINTERCITES de nuit-87763300;571
StopPoint:OCEINTERCITES de nuit-87686667;StopPoint:OCEINTERCITES de nuit-87761783;436
StopPoint:OCEINTERCITES de nuit-87763607;StopPoint:OCEINTERCITES de nuit-87763557;16
StopPoint:OCEINTERCITES-87734053;StopPoint:OCEINTERCITES-87732008;35
StopPoint:OCEINTERCITES-87732008;StopPoint:OCEINTERCITES-87732206;45
StopPoint:OCEINTERCITES-87686667;StopPoint:OCEINTERCITES-87696005;123
