stop1;stop2;temps
StopPoint:OCETrain TER-87761163;StopPoint:OCETrain TER-87761130;94
StopPoint:OCETrain TER-87761130;StopPoint:OCETrain TER-87761106;104
StopPoint:OCETrain TER-87761106;StopPoint:OCETrain TER-87722678;112
StopPoint:OCETrain TER-87722678;StopPoint:OCETrain TER-87722652;120
StopPoint:OCETrain TER-87722652;StopPoint:OCETrain TER-87722587;129
StopPoint:OCETrain TER-87722587;StopPoint:OCETrain TER-87723197;149
StopPoint:OCETrain TER-87439554;StopPoint:OCETrain TER-87753004;34
StopPoint:OCETrain TER-87753004;StopPoint:OCETrain TER-87753681;47
StopPoint:OCETrain TER-87753681;StopPoint:OCETrain TER-87753657;58
StopPoint:OCETrain TER-87753657;StopPoint:OCETrain TER-87765008;76
StopPoint:OCETrain TER-87713040;StopPoint:OCETrain TER-87713115;33
StopPoint:OCETrain TER-87713115;StopPoint:OCETrain TER-87713131;42
StopPoint:OCETrain TER-87713131;StopPoint:OCETrain TER-87713156;52
StopPoint:OCETrain TER-87713156;StopPoint:OCETrain TER-87713198;67
StopPoint:OCETrain TER-87713198;StopPoint:OCETrain TER-87683318;80
StopPoint:OCETrain TER-87683318;StopPoint:OCETrain TER-87683268;93
StopPoint:OCETrain TER-87683268;StopPoint:OCETrain TER-87683243;101
StopPoint:OCETrain TER-87683243;StopPoint:OCETrain TER-87683003;119
StopPoint:OCETrain TER-87683003;StopPoint:OCETrain TER-87686667;184
StopPoint:OCETrain TER-87683201;StopPoint:OCETrain TER-87683219;13
StopPoint:OCETrain TER-87683219;StopPoint:OCETrain TER-87683227;19
StopPoint:OCETrain TER-87683227;StopPoint:OCETrain TER-87683243;27
StopPoint:OCETrain TER-87713545;StopPoint:OCETrain TER-87713578;169
StopPoint:OCETrain TER-87713578;StopPoint:OCETrain TER-87725002;182
StopPoint:OCETrain TER-87725002;StopPoint:OCETrain TER-87725622;196
StopPoint:OCETrain TER-87725622;StopPoint:OCETrain TER-87725689;213
StopPoint:OCETrain TER-87725689;StopPoint:OCETrain TER-87721357;227
StopPoint:OCETrain TER-87721357;StopPoint:OCETrain TER-87721332;238
StopPoint:OCETrain TER-87721332;StopPoint:OCETrain TER-87721282;247
StopPoint:OCETrain TER-87721282;StopPoint:OCETrain TER-87723197;262
StopPoint:OCETrain TER-87686006;StopPoint:OCETrain TER-87683003;58
StopPoint:OCETrain TER-87686667;StopPoint:OCETrain TER-87683003;58
StopPoint:OCETrain TER-87682302;StopPoint:OCETrain TER-87683102;7
StopPoint:OCETrain TER-87683102;StopPoint:OCETrain TER-87683128;12
StopPoint:OCETrain TER-87683128;StopPoint:OCETrain TER-87683136;18
StopPoint:OCETrain TER-87683136;StopPoint:OCETrain TER-87683003;27
StopPoint:OCETrain TER-87743716;StopPoint:OCETrain TER-87723197;113
StopPoint:OCETrain TER-87741074;StopPoint:OCETrain TER-87743716;96
StopPoint:OCETrain TER-87741470;StopPoint:OCETrain TER-87741439;52
StopPoint:OCETrain TER-87741439;StopPoint:OCETrain TER-87741009;77
StopPoint:OCETrain TER-87718544;StopPoint:OCETrain TER-87718551;8
StopPoint:OCETrain TER-87718551;StopPoint:OCETrain TER-87718577;24
StopPoint:OCETrain TER-87718577;StopPoint:OCETrain TER-87718619;39
StopPoint:OCETrain TER-87718619;StopPoint:OCETrain TER-87598219;51
StopPoint:OCETrain TER-87598219;StopPoint:OCETrain TER-85043166;55
StopPoint:OCETrain TER-85043166;StopPoint:OCETrain TER-85043158;59
StopPoint:OCETrain TER-85043158;StopPoint:OCETrain TER-85043141;64
StopPoint:OCETrain TER-85043141;StopPoint:OCETrain TER-85043166;7
StopPoint:OCETrain TER-87718536;StopPoint:OCETrain TER-87718528;71
StopPoint:OCETrain TER-87718528;StopPoint:OCETrain TER-87718510;78
StopPoint:OCETrain TER-87718510;StopPoint:OCETrain TER-87718502;83
StopPoint:OCETrain TER-87718502;StopPoint:OCETrain TER-87391300;87
StopPoint:OCETrain TER-87391300;StopPoint:OCETrain TER-87718015;93
StopPoint:OCETrain TER-87718015;StopPoint:OCETrain TER-87718007;97
StopPoint:OCETrain TER-87718601;StopPoint:OCETrain TER-87718536;70
StopPoint:OCETrain TER-87718007;StopPoint:OCETrain TER-87718015;8
