nom;latitude;longitude
morvillars;47.549659;6.935477
grandvillars;47.53771;6.978584
delle;47.50593;7.00962
hericourt;47.573061;6.769409
montbeliard;47.510362;6.801649
voujeaucourt;47.478973;6.769967
colombier fontaine;47.455602;6.689319
l isle sur le doubs;47.44719;6.581506
clerval;47.396374;6.492208
vesoul;47.617466;6.151738
lure;47.682963;6.492748
ronchamp;47.699066;6.623192
saint loup sur semouse;47.885625;6.275672
champagney;47.703149;6.701225
luxeuil les bains;47.81517;6.371866
aillevillers;47.913556;6.336588
bale saint jean;47.577465;7.567698
loupershouse centre;49.080833;6.914167
thionville;49.353965;6.168582
walygator parc;49.225018;6.159633
maizieres les metz;49.215593;6.158459
hagondange;49.254417;6.164103
uckange;49.303454;6.156313
hettange grande;49.407769;6.156705
hayange;49.330515;6.073657
metzeresche fontaine;49.299185;6.304945
yutz poitiers;49.361127;6.209499
kedange gare;49.305675;6.332274
anzeling;49.262072;6.460265
freistroff passage a niveau;49.27748;6.491504
aboncourt mairie;49.261076;6.346603
remelfang giratoire;49.27212;6.504478
basse ham;49.38053;6.23495
koenigsmacker;49.3966;6.273868
malling;49.421494;6.302178
sierck les bains;49.443997;6.350114
apach;49.458617;6.372489
auboue;49.216153;5.971297
homecourt;49.218291;5.998964
joeuf;49.225095;6.017772
moyeuvre grande;49.246782;6.043876
rombas   clouange;49.255836;6.098355
gandrange   amneville;49.260892;6.135803
metz;49.107169;6.17724
metz nord;49.136936;6.167103
woippy;49.149078;6.15604
aubecourt rue principale;48.995574;6.42892
lucy rue des tilleuls;48.9423;6.468053
chenois rue principale;48.959422;6.499135
holacourt rue principale;48.97262;6.515158
arraincourt rue principale;48.970807;6.532016
racrange rue de morhange;48.925827;6.662393
bermering eglise;48.93136;6.71041
marimont les benestroff eglise;48.889549;6.78394
peltre;49.073985;6.221853
courcelles sur nied;49.063517;6.31099
sanry sur nied;49.044814;6.339195
remilly;49.014025;6.395097
baudrecourt centre;48.967226;6.462009
lesse centre;48.962554;6.505666
brulange rue de metz;48.9695;6.549028
morhange;48.936624;6.659027
benestroff;48.906631;6.752627
ars sur moselle;49.074303;6.077937
ancy sur moselle;49.057714;6.062342
noveant sur moselle gare;49.028717;6.052051
onville;49.013256;5.978901
pagny sur moselle;48.9852;6.025035
vandieres station total;48.951493;6.037921
baroncourt;49.284493;5.699698
conflans   jarny;49.166665;5.868106
hatrize;49.193494;5.907123
valleroy   moineville;49.205498;5.935531
ugny mairie;49.472008;5.697446
forbach;49.189482;6.900434
baronville mairie;48.934734;6.60836
vahl les benestroff mairie;48.9132;6.7871
han sur nied rue principale;48.990495;6.436339
falck gare;49.21881;6.633642
teterchen rue jeanne d arc;49.227214;6.572309
brettnach centre;49.254207;6.563243
bouzonville;49.289974;6.529374
merten centre;49.248703;6.661803
bening les saint avold;49.138056;6.82848
peccavillers centre;48.015556;6.668333
hombourg haut;49.126171;6.773401
saint avold;49.085708;6.720733
teting sur nied;49.051626;6.664216
faulquemont;49.045527;6.60362
herny;49.004094;6.477707
theding allee de la foret;49.117961;6.889293
farebersviller;49.11809;6.861592
farschviller;49.088013;6.908171
diebling centre;49.109148;6.939969
hundling hotel de ville;49.107585;6.98149
metzing centre;49.105861;6.95713
ippling rue de sarreguemines;49.106359;7.004908
welferding cimetiere;49.112598;7.046198
sarreguemines;49.10738;7.068576
kalhausen gare;49.035033;7.125438
woelfling les sarreguemines;49.094855;7.190391
rohrbach les bitche;49.055272;7.263652
petit rederching;49.049474;7.299914
bitche ancienne gare;49.048428;7.432578
bitche camp;49.049734;7.475407
longwy;49.513004;5.76956
ebring croisement;49.117002;6.910941
montmedy;49.522878;5.371672
longuyon;49.443965;5.604842
audun le roman;49.36646;5.891377
rehon la chapelle;49.508627;5.755594
cons la grandville centre;49.484022;5.701711
montigny sur chiers la roche;49.4764;5.6575
viviers sur chiers mairie;49.471248;5.632918
gros rederching;49.068036;7.219659
reyersviller schwangerbach;49.032547;7.408583
destry centre;48.943422;6.584654
chateauroux gr;46.8095;1.698721
argenton sur creuse lep;46.589025;1.51901
saint gaultier gendarmerie;46.634444;1.418056
le blanc place du bateau;46.630556;1.063611
saint savin;46.565278;0.866944
chauvigny mairie;46.569444;0.644444
poitiers gare routiere;46.582222;0.333611
chambray chr trousseau;47.347866;0.71027
le tranger;46.956667;1.240278
saint genou;46.929019;1.327715
casino lacroix laval;45.787899;4.730912
strasbourg;48.58511;7.733882
mundolsheim;48.644908;7.721121
vendenheim;48.665767;7.718158
stephansfeld;48.716997;7.704801
brumath;48.732874;7.700236
mommenheim;48.755951;7.642303
schwindratzheim;48.753647;7.600117
hochfelden;48.755416;7.572281
wilwisheim;48.745904;7.507819
dettwiller;48.751916;7.465077
strasbourg roethig;48.563344;7.694949
steinbourg;48.76357;7.415789
saverne;48.744483;7.362055
graffenstaden;48.532788;7.689236
geispolsheim;48.519052;7.684358
fegersheim   lipsheim;48.490589;7.672481
limersheim;48.461592;7.660306
bischheim;48.611913;7.741976
la wantzenau;48.665204;7.824822
kilstett;48.67932;7.854755
gambsheim;48.694909;7.879179
herrlisheim;48.72792;7.910146
drusenheim;48.765906;7.94746
sessenheim;48.79603;7.989265
rountzenheim;48.820457;8.011774
